,recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
1,6,3) $200 - $350,329.08,1,1,Rural,1,Web,0,0,0.0,0
3,9,5) $500 - $750,675.83,1,0,Rural,1,Web,0,0,0.0,1
8,9,5) $500 - $750,675.07,1,1,Rural,1,Phone,0,0,0.0,1
13,2,2) $100 - $200,101.64,0,1,Urban,0,Web,1,0,0.0,1
14,4,3) $200 - $350,241.42,0,1,Rural,1,Multichannel,0,0,0.0,0
15,3,1) $0 - $100,58.13,1,0,Urban,1,Web,1,0,0.0,0
16,5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
17,9,2) $100 - $200,112.35,1,0,Rural,0,Web,0,0,0.0,1
18,11,3) $200 - $350,219.04,1,1,Surburban,0,Phone,0,0,0.0,1
19,5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,0,0,0.0,1
20,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,0,0,0.0,0
21,11,2) $100 - $200,182.32,1,0,Surburban,0,Phone,0,0,0.0,1
22,2,2) $100 - $200,118.4,1,0,Surburban,0,Web,1,0,0.0,1
23,2,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,0
24,4,1) $0 - $100,78.24,1,0,Surburban,0,Web,0,0,0.0,0
25,6,2) $100 - $200,139.87,0,1,Rural,1,Web,0,0,0.0,1
26,12,2) $100 - $200,115.39,0,1,Surburban,0,Phone,1,0,0.0,1
27,6,2) $100 - $200,162.98,0,1,Surburban,0,Web,0,0,0.0,1
28,7,4) $350 - $500,435.73,0,1,Urban,1,Web,0,0,0.0,0
29,2,3) $200 - $350,203.35,1,0,Rural,0,Web,0,0,0.0,0
31,9,3) $200 - $350,334.24,1,0,Urban,0,Web,0,0,0.0,1
32,6,2) $100 - $200,128.01,0,1,Urban,0,Web,0,0,0.0,1
33,9,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,1
36,1,5) $500 - $750,514.52,0,1,Surburban,1,Web,0,0,0.0,1
37,4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,0,0,0.0,1
39,7,5) $500 - $750,520.43,0,1,Surburban,1,Web,0,0,0.0,1
40,11,3) $200 - $350,236.97,1,1,Urban,1,Phone,0,0,0.0,1
41,3,1) $0 - $100,99.23,1,0,Rural,0,Web,1,0,0.0,1
43,2,4) $350 - $500,492.02,1,0,Surburban,0,Phone,0,0,0.0,0
44,1,1) $0 - $100,48.32,0,1,Urban,0,Web,0,0,0.0,0
45,10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,0
46,2,4) $350 - $500,391.33,1,0,Surburban,0,Web,0,0,0.0,0
47,1,5) $500 - $750,729.7,1,1,Surburban,1,Web,0,0,0.0,1
50,3,3) $200 - $350,203.3,0,1,Surburban,0,Web,0,0,0.0,0
51,9,2) $100 - $200,185.43,1,0,Urban,0,Web,0,0,0.0,1
52,7,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,1
53,9,1) $0 - $100,78.62,1,0,Urban,0,Web,0,0,0.0,1
54,12,2) $100 - $200,150.06,0,1,Surburban,0,Phone,0,0,0.0,0
55,6,1) $0 - $100,42.66,1,0,Surburban,0,Web,0,0,0.0,0
57,3,5) $500 - $750,549.29,1,0,Surburban,1,Multichannel,0,0,0.0,0
58,9,5) $500 - $750,506.83,1,0,Rural,1,Multichannel,0,0,0.0,1
60,10,2) $100 - $200,115.4,1,0,Urban,0,Phone,0,0,0.0,1
62,6,1) $0 - $100,40.07,1,0,Surburban,1,Phone,0,0,0.0,1
63,11,4) $350 - $500,417.21,0,1,Urban,0,Phone,0,0,0.0,0
66,1,3) $200 - $350,259.91,0,1,Surburban,1,Web,0,0,0.0,0
67,11,1) $0 - $100,53.81,1,0,Urban,1,Phone,0,0,0.0,0
68,9,2) $100 - $200,154.15,0,1,Surburban,0,Web,0,0,0.0,1
70,2,3) $200 - $350,278.8,1,0,Rural,0,Web,0,0,0.0,1
72,2,4) $350 - $500,428.74,1,0,Rural,0,Phone,0,0,0.0,1
74,11,3) $200 - $350,228.09,0,1,Surburban,1,Web,0,0,0.0,0
75,1,5) $500 - $750,640.58,0,1,Urban,1,Phone,0,0,0.0,1
76,4,2) $100 - $200,194.11,1,0,Urban,0,Phone,0,0,0.0,0
77,7,1) $0 - $100,84.49,0,1,Urban,1,Web,0,0,0.0,0
78,7,3) $200 - $350,235.14,0,1,Urban,1,Phone,0,0,0.0,1
79,2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,0,0,0.0,1
80,7,3) $200 - $350,272.32,1,0,Surburban,1,Web,0,0,0.0,1
81,2,1) $0 - $100,95.33,0,1,Surburban,0,Web,1,0,0.0,0
82,5,4) $350 - $500,494.26,1,1,Surburban,1,Phone,0,0,0.0,1
83,2,"6) $750 - $1,000",809.07,1,0,Urban,1,Phone,0,0,0.0,1
88,3,2) $100 - $200,101.61,0,1,Surburban,1,Phone,0,0,0.0,0
89,8,1) $0 - $100,52.64,0,1,Surburban,1,Web,0,0,0.0,0
90,6,4) $350 - $500,466.29,1,0,Urban,1,Multichannel,0,0,0.0,1
91,3,2) $100 - $200,100.85,1,0,Urban,1,Phone,0,0,0.0,1
92,3,"7) $1,000 +",1397.57,1,0,Surburban,1,Multichannel,0,0,0.0,1
93,2,"6) $750 - $1,000",770.58,0,1,Surburban,1,Phone,0,0,0.0,1
94,3,"7) $1,000 +",1973.87,1,0,Surburban,1,Multichannel,0,0,0.0,0
95,3,2) $100 - $200,133.51,1,0,Urban,0,Web,0,0,0.0,1
96,8,1) $0 - $100,31.52,0,1,Surburban,0,Web,0,0,0.0,1
100,11,2) $100 - $200,189.25,0,1,Urban,1,Phone,0,0,0.0,0
102,8,1) $0 - $100,66.14,1,0,Surburban,1,Phone,0,0,0.0,0
106,11,2) $100 - $200,146.04,0,1,Surburban,1,Phone,0,0,0.0,1
107,12,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
111,9,"7) $1,000 +",1172.42,1,1,Surburban,1,Web,0,0,0.0,1
112,5,3) $200 - $350,244.34,0,1,Urban,1,Web,0,0,0.0,1
115,9,2) $100 - $200,151.01,1,0,Surburban,0,Web,0,0,0.0,0
116,11,1) $0 - $100,35.43,1,0,Urban,1,Phone,0,0,0.0,1
118,3,3) $200 - $350,313.6,0,1,Surburban,0,Phone,0,0,0.0,0
119,1,2) $100 - $200,117.27,0,1,Rural,0,Phone,0,0,0.0,1
120,5,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,0
122,3,5) $500 - $750,683.2,1,1,Rural,1,Multichannel,0,0,0.0,0
123,1,2) $100 - $200,110.07,0,1,Urban,0,Web,0,0,0.0,1
125,2,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0,0.0,1
126,11,2) $100 - $200,160.04,1,0,Rural,0,Web,0,0,0.0,1
127,1,4) $350 - $500,418.68,0,1,Surburban,0,Web,0,0,0.0,0
128,11,3) $200 - $350,316.23,1,0,Urban,1,Phone,0,0,0.0,1
130,9,3) $200 - $350,329.96,0,1,Surburban,1,Phone,0,0,0.0,0
131,7,2) $100 - $200,185.73,1,0,Surburban,0,Phone,0,0,0.0,1
133,1,5) $500 - $750,616.73,0,1,Urban,1,Web,0,0,0.0,1
135,3,3) $200 - $350,249.71,1,0,Surburban,0,Phone,0,0,0.0,0
136,2,1) $0 - $100,46.09,0,1,Urban,0,Web,0,0,0.0,0
137,8,1) $0 - $100,48.87,1,0,Surburban,1,Web,0,0,0.0,1
139,4,3) $200 - $350,270.24,1,0,Urban,1,Phone,0,0,0.0,0
140,9,3) $200 - $350,228.8,1,0,Surburban,0,Multichannel,1,0,0.0,1
143,9,2) $100 - $200,162.59,0,1,Urban,0,Phone,1,0,0.0,1
144,12,1) $0 - $100,87.62,1,0,Urban,1,Phone,0,0,0.0,1
145,3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
149,2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,0,0,0.0,1
151,7,3) $200 - $350,229.53,1,0,Surburban,0,Web,1,0,0.0,1
152,1,4) $350 - $500,439.93,1,1,Rural,1,Multichannel,0,0,0.0,0
156,2,3) $200 - $350,289.55,0,1,Rural,0,Phone,1,0,0.0,0
157,5,1) $0 - $100,29.99,0,1,Surburban,1,Phone,1,0,0.0,1
158,9,3) $200 - $350,274.29,1,0,Surburban,0,Web,0,0,0.0,0
159,1,3) $200 - $350,293.37,1,0,Surburban,0,Phone,0,0,0.0,0
160,12,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,0
161,1,4) $350 - $500,407.09,1,0,Surburban,0,Web,0,0,0.0,0
162,1,2) $100 - $200,142.4,0,1,Surburban,0,Phone,0,0,0.0,0
163,1,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,1
164,12,3) $200 - $350,284.54,1,1,Surburban,0,Web,0,0,0.0,1
165,2,1) $0 - $100,60.2,0,1,Surburban,1,Web,0,0,0.0,0
166,4,"7) $1,000 +",1089.77,1,0,Urban,1,Multichannel,0,0,0.0,1
172,1,"6) $750 - $1,000",790.36,1,1,Urban,1,Multichannel,0,0,0.0,1
173,4,1) $0 - $100,36.49,1,0,Urban,1,Web,0,0,0.0,0
174,12,3) $200 - $350,271.89,1,0,Rural,0,Web,0,0,0.0,1
176,3,1) $0 - $100,39.83,0,1,Urban,1,Phone,1,0,0.0,1
178,5,3) $200 - $350,269.99,1,1,Surburban,0,Phone,0,0,0.0,1
180,4,3) $200 - $350,292.61,1,0,Surburban,0,Multichannel,0,0,0.0,0
182,6,1) $0 - $100,29.99,1,0,Surburban,0,Web,0,0,0.0,0
183,9,2) $100 - $200,116.3,1,0,Rural,1,Web,1,0,0.0,1
184,5,1) $0 - $100,29.99,1,0,Surburban,0,Web,0,0,0.0,0
185,3,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
187,7,1) $0 - $100,39.78,0,1,Surburban,0,Web,0,0,0.0,1
189,1,5) $500 - $750,720.17,1,1,Urban,1,Phone,0,0,0.0,1
190,4,1) $0 - $100,69.08,0,1,Urban,0,Phone,0,0,0.0,1
192,1,3) $200 - $350,301.19,1,0,Surburban,1,Web,0,0,0.0,0
193,10,3) $200 - $350,307.64,0,1,Urban,0,Multichannel,0,0,0.0,1
194,7,4) $350 - $500,481.56,1,0,Surburban,0,Web,0,0,0.0,1
195,10,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,0
197,5,4) $350 - $500,425.1,1,0,Rural,1,Phone,0,0,0.0,1
198,10,1) $0 - $100,36.28,1,0,Urban,1,Web,0,0,0.0,0
200,7,1) $0 - $100,32.42,1,0,Surburban,0,Phone,0,0,0.0,0
202,1,2) $100 - $200,150.93,1,0,Surburban,0,Web,0,0,0.0,0
204,1,5) $500 - $750,506.51,1,0,Urban,1,Multichannel,0,0,0.0,0
205,8,5) $500 - $750,575.62,1,1,Urban,1,Multichannel,0,0,0.0,1
207,2,2) $100 - $200,145.76,0,1,Surburban,1,Web,1,0,0.0,0
209,8,4) $350 - $500,428.0,1,0,Surburban,1,Multichannel,0,0,0.0,0
210,6,5) $500 - $750,604.39,1,1,Urban,1,Phone,0,0,0.0,0
211,8,2) $100 - $200,171.88,1,0,Surburban,0,Phone,0,0,0.0,0
214,7,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,1
215,1,3) $200 - $350,209.98,1,0,Surburban,0,Web,1,0,0.0,0
