,recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
0,10,2,142.44,1,0,Surburban,0,Phone,0,0,0.0,1
1,6,3,329.08,1,1,Rural,1,Web,0,0,0.0,0
2,7,2,180.65,0,1,Surburban,1,Web,0,0,0.0,1
4,2,1,45.34,1,0,Urban,0,Web,0,0,0.0,1
5,6,2,134.83,0,1,Surburban,0,Phone,1,0,0.0,1
6,9,3,280.2,1,0,Surburban,1,Phone,0,0,0.0,1
7,9,1,46.42,0,1,Urban,0,Phone,0,0,0.0,1
9,10,1,32.84,0,1,Urban,1,Web,0,0,0.0,1
10,7,5,548.91,0,1,Urban,1,Phone,1,0,0.0,1
11,1,3,211.45,0,1,Urban,1,Phone,0,0,0.0,1
12,5,5,642.9,0,1,Surburban,1,Multichannel,0,0,0.0,1
14,4,3,241.42,0,1,Rural,1,Multichannel,0,0,0.0,0
15,3,1,58.13,1,0,Urban,1,Web,1,0,0.0,0
20,9,1,29.99,0,1,Surburban,1,Phone,0,0,0.0,0
23,2,1,29.99,0,1,Urban,1,Phone,0,0,0.0,0
24,4,1,78.24,1,0,Surburban,0,Web,0,0,0.0,0
28,7,4,435.73,0,1,Urban,1,Web,0,0,0.0,0
29,2,3,203.35,1,0,Rural,0,Web,0,0,0.0,0
30,2,3,237.53,0,1,Surburban,0,Phone,0,0,0.0,1
34,3,1,29.99,1,0,Rural,0,Web,0,0,0.0,1
35,4,3,218.72,0,1,Urban,0,Multichannel,0,0,0.0,1
38,10,1,63.79,1,0,Rural,1,Phone,0,0,0.0,1
42,9,3,204.18,0,1,Surburban,0,Web,0,0,0.0,1
43,2,4,492.02,1,0,Surburban,0,Phone,0,0,0.0,0
44,1,1,48.32,0,1,Urban,0,Web,0,0,0.0,0
45,10,1,29.99,1,0,Surburban,0,Phone,0,0,0.0,0
46,2,4,391.33,1,0,Surburban,0,Web,0,0,0.0,0
48,3,2,134.59,1,0,Urban,1,Phone,1,0,0.0,1
49,10,1,61.09,0,1,Surburban,0,Web,0,0,0.0,1
50,3,3,203.3,0,1,Surburban,0,Web,0,0,0.0,0
54,12,2,150.06,0,1,Surburban,0,Phone,0,0,0.0,0
55,6,1,42.66,1,0,Surburban,0,Web,0,0,0.0,0
56,12,1,69.08,0,1,Rural,0,Phone,0,0,0.0,1
57,3,5,549.29,1,0,Surburban,1,Multichannel,0,0,0.0,0
59,3,2,143.93,0,1,Surburban,0,Phone,0,0,0.0,1
61,2,1,96.91,1,0,Surburban,0,Phone,0,0,0.0,1
63,11,4,417.21,0,1,Urban,0,Phone,0,0,0.0,0
64,9,1,61.57,1,0,Surburban,1,Phone,0,0,0.0,1
65,5,3,222.07,0,1,Surburban,0,Phone,0,0,0.0,1
66,1,3,259.91,0,1,Surburban,1,Web,0,0,0.0,0
67,11,1,53.81,1,0,Urban,1,Phone,0,0,0.0,0
69,10,7,1009.44,1,0,Surburban,1,Multichannel,0,0,0.0,1
71,10,1,31.12,1,0,Urban,0,Phone,0,0,0.0,1
73,7,5,612.28,1,0,Surburban,1,Phone,0,0,0.0,1
74,11,3,228.09,0,1,Surburban,1,Web,0,0,0.0,0
76,4,2,194.11,1,0,Urban,0,Phone,0,0,0.0,0
77,7,1,84.49,0,1,Urban,1,Web,0,0,0.0,0
81,2,1,95.33,0,1,Surburban,0,Web,1,0,0.0,0
84,1,1,80.42,0,1,Urban,1,Phone,0,0,0.0,1
85,10,3,237.85,1,0,Urban,0,Web,0,0,0.0,1
86,2,1,82.59,1,0,Surburban,0,Phone,0,0,0.0,1
