,recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
0,10,1,142.44,1,0,1,0,1,0,0,0.0,1
1,6,2,329.08,1,1,0,1,2,0,0,0.0,0
2,7,1,180.65,0,1,1,1,2,0,0,0.0,1
4,2,0,45.34,1,0,2,0,2,0,0,0.0,1
5,6,1,134.83,0,1,1,0,1,1,0,0.0,1
6,9,2,280.2,1,0,1,1,1,0,0,0.0,1
7,9,0,46.42,0,1,2,0,1,0,0,0.0,1
9,10,0,32.84,0,1,2,1,2,0,0,0.0,1
10,7,4,548.91,0,1,2,1,1,1,0,0.0,1
11,1,2,211.45,0,1,2,1,1,0,0,0.0,1
12,5,4,642.9,0,1,1,1,0,0,0,0.0,1
14,4,2,241.42,0,1,0,1,0,0,0,0.0,0
15,3,0,58.13,1,0,2,1,2,1,0,0.0,0
20,9,0,29.99,0,1,1,1,1,0,0,0.0,0
23,2,0,29.99,0,1,2,1,1,0,0,0.0,0
24,4,0,78.24,1,0,1,0,2,0,0,0.0,0
28,7,3,435.73,0,1,2,1,2,0,0,0.0,0
29,2,2,203.35,1,0,0,0,2,0,0,0.0,0
30,2,2,237.53,0,1,1,0,1,0,0,0.0,1
34,3,0,29.99,1,0,0,0,2,0,0,0.0,1
35,4,2,218.72,0,1,2,0,0,0,0,0.0,1
38,10,0,63.79,1,0,0,1,1,0,0,0.0,1
42,9,2,204.18,0,1,1,0,2,0,0,0.0,1
43,2,3,492.02,1,0,1,0,1,0,0,0.0,0
44,1,0,48.32,0,1,2,0,2,0,0,0.0,0
45,10,0,29.99,1,0,1,0,1,0,0,0.0,0
46,2,3,391.33,1,0,1,0,2,0,0,0.0,0
48,3,1,134.59,1,0,2,1,1,1,0,0.0,1
49,10,0,61.09,0,1,1,0,2,0,0,0.0,1
50,3,2,203.3,0,1,1,0,2,0,0,0.0,0
54,12,1,150.06,0,1,1,0,1,0,0,0.0,0
55,6,0,42.66,1,0,1,0,2,0,0,0.0,0
56,12,0,69.08,0,1,0,0,1,0,0,0.0,1
57,3,4,549.29,1,0,1,1,0,0,0,0.0,0
59,3,1,143.93,0,1,1,0,1,0,0,0.0,1
61,2,0,96.91,1,0,1,0,1,0,0,0.0,1
63,11,3,417.21,0,1,2,0,1,0,0,0.0,0
64,9,0,61.57,1,0,1,1,1,0,0,0.0,1
65,5,2,222.07,0,1,1,0,1,0,0,0.0,1
66,1,2,259.91,0,1,1,1,2,0,0,0.0,0
67,11,0,53.81,1,0,2,1,1,0,0,0.0,0
69,10,6,1009.44,1,0,1,1,0,0,0,0.0,1
71,10,0,31.12,1,0,2,0,1,0,0,0.0,1
73,7,4,612.28,1,0,1,1,1,0,0,0.0,1
74,11,2,228.09,0,1,1,1,2,0,0,0.0,0
76,4,1,194.11,1,0,2,0,1,0,0,0.0,0
77,7,0,84.49,0,1,2,1,2,0,0,0.0,0
81,2,0,95.33,0,1,1,0,2,1,0,0.0,0
84,1,0,80.42,0,1,2,1,1,0,0,0.0,1
85,10,2,237.85,1,0,2,0,2,0,0,0.0,1
86,2,0,82.59,1,0,1,0,1,0,0,0.0,1
87,6,1,165.77,0,1,2,0,2,1,0,0.0,1
88,3,1,101.61,0,1,1,1,1,0,0,0.0,0
89,8,0,52.64,0,1,1,1,2,0,0,0.0,0
94,3,6,1973.87,1,0,1,1,0,0,0,0.0,0
97,1,0,47.44,0,1,2,0,1,0,0,0.0,1
98,1,1,106.27,0,1,1,0,2,0,0,0.0,1
99,11,2,215.46,0,1,2,0,2,0,0,0.0,1
100,11,1,189.25,0,1,2,1,1,0,0,0.0,0
101,10,1,108.12,1,0,2,0,2,0,0,0.0,1
102,8,0,66.14,1,0,1,1,1,0,0,0.0,0
103,8,0,98.56,1,0,1,1,2,0,0,0.0,1
104,6,1,129.14,1,0,1,0,2,0,0,0.0,1
105,2,3,493.17,0,1,1,0,2,0,0,0.0,1
107,12,0,29.99,0,1,2,1,2,0,0,0.0,0
108,2,0,66.6,1,0,2,1,1,0,0,0.0,1
109,12,1,129.73,1,0,1,0,2,0,0,0.0,1
110,4,0,54.41,0,1,2,1,1,0,0,0.0,1
113,2,2,287.04,1,1,2,1,1,0,0,0.0,1
114,4,0,29.99,0,1,2,1,2,0,0,0.0,1
115,9,1,151.01,1,0,1,0,2,0,0,0.0,0
117,5,0,84.17,1,0,2,1,2,0,0,0.0,1
118,3,2,313.6,0,1,1,0,1,0,0,0.0,0
120,5,0,29.99,0,1,1,0,2,0,0,0.0,0
121,3,6,1167.93,1,1,0,1,2,0,0,0.0,1
122,3,4,683.2,1,1,0,1,0,0,0,0.0,0
124,1,1,102.94,1,0,2,0,2,0,0,0.0,1
127,1,3,418.68,0,1,1,0,2,0,0,0.0,0
129,12,2,253.06,0,1,1,0,1,0,0,0.0,1
130,9,2,329.96,0,1,1,1,1,0,0,0.0,0
132,11,0,52.08,0,1,2,0,2,0,0,0.0,1
134,9,1,123.39,1,0,2,0,1,0,0,0.0,1
135,3,2,249.71,1,0,1,0,1,0,0,0.0,0
136,2,0,46.09,0,1,2,0,2,0,0,0.0,0
138,10,0,77.37,1,0,1,0,1,0,0,0.0,1
139,4,2,270.24,1,0,2,1,1,0,0,0.0,0
141,3,0,80.18,0,1,2,0,1,0,0,0.0,1
142,11,1,131.76,0,1,1,1,2,1,0,0.0,1
146,3,0,29.99,0,1,2,0,2,0,0,0.0,1
147,7,0,59.96,1,0,2,1,2,0,0,0.0,1
148,7,0,78.49,0,1,0,0,2,0,0,0.0,1
150,7,2,206.8,1,0,1,0,1,0,0,0.0,1
152,1,3,439.93,1,1,0,1,0,0,0,0.0,0
153,10,2,313.67,1,0,0,1,1,1,0,0.0,1
154,7,0,29.99,1,0,1,1,2,0,0,0.0,1
155,3,0,57.33,0,1,1,0,2,1,0,0.0,1
156,2,2,289.55,0,1,0,0,1,1,0,0.0,0
158,9,2,274.29,1,0,1,0,2,0,0,0.0,0
159,1,2,293.37,1,0,1,0,1,0,0,0.0,0
160,12,0,29.99,1,0,2,1,1,0,0,0.0,0
161,1,3,407.09,1,0,1,0,2,0,0,0.0,0
162,1,1,142.4,0,1,1,0,1,0,0,0.0,0
165,2,0,60.2,0,1,1,1,2,0,0,0.0,0
167,7,0,29.99,1,0,1,1,2,0,0,0.0,1
168,1,4,747.31,0,1,0,1,2,0,0,0.0,1
169,6,1,136.63,1,0,2,1,2,0,0,0.0,1
170,10,0,29.99,1,0,0,1,2,0,0,0.0,1
171,11,0,54.11,1,0,2,1,2,0,0,0.0,1
173,4,0,36.49,1,0,2,1,2,0,0,0.0,0
175,5,3,399.46,1,0,1,0,2,0,0,0.0,1
177,10,1,153.58,1,0,1,0,1,0,0,0.0,1
179,2,0,29.99,1,0,2,1,2,0,0,0.0,1
180,4,2,292.61,1,0,1,0,0,0,0,0.0,0
181,2,4,576.02,0,1,1,1,2,0,0,0.0,1
182,6,0,29.99,1,0,1,0,2,0,0,0.0,0
184,5,0,29.99,1,0,1,0,2,0,0,0.0,0
185,3,0,29.99,0,1,2,1,2,0,0,0.0,0
186,7,5,968.65,1,1,1,1,2,0,0,0.0,1
188,9,2,311.81,1,0,2,0,0,1,0,0.0,1
191,12,0,80.56,1,0,2,0,2,0,0,0.0,1
192,1,2,301.19,1,0,1,1,2,0,0,0.0,0
195,10,0,29.99,0,1,1,0,2,0,0,0.0,0
196,1,5,895.43,0,1,1,1,2,0,0,0.0,1
198,10,0,36.28,1,0,2,1,2,0,0,0.0,0
199,4,3,413.46,0,1,0,0,1,0,0,0.0,1
200,7,0,32.42,1,0,1,0,1,0,0,0.0,0
201,10,1,170.32,1,0,2,1,1,0,0,0.0,1
202,1,1,150.93,1,0,1,0,2,0,0,0.0,0
203,11,2,223.39,1,0,0,1,1,0,0,0.0,1
204,1,4,506.51,1,0,2,1,0,0,0,0.0,0
206,3,0,29.99,0,1,1,0,2,1,0,0.0,1
207,2,1,145.76,0,1,1,1,2,1,0,0.0,0
208,1,0,29.99,1,0,0,1,1,0,0,0.0,1
209,8,3,428.0,1,0,1,1,0,0,0,0.0,0
210,6,4,604.39,1,1,2,1,1,0,0,0.0,0
211,8,1,171.88,1,0,1,0,1,0,0,0.0,0
212,4,3,370.86,0,1,1,0,0,0,0,0.0,1
213,8,1,138.62,0,1,2,1,2,0,0,0.0,1
215,1,2,209.98,1,0,1,0,2,1,0,0.0,0
216,3,1,166.0,0,1,2,0,2,0,0,0.0,0
217,10,0,88.37,0,1,2,0,1,1,1,29.99,1
219,1,0,60.71,0,1,0,1,1,0,0,0.0,1
220,4,3,356.73,0,1,1,0,2,0,0,0.0,0
223,6,2,277.81,1,0,1,1,0,0,0,0.0,0
225,2,1,112.13,1,0,2,1,2,0,0,0.0,1
226,5,0,29.99,0,1,0,1,2,0,0,0.0,0
227,5,3,439.26,1,0,1,0,0,0,0,0.0,1
228,8,0,64.16,0,1,1,0,2,0,0,0.0,1
229,5,0,29.99,0,1,1,0,2,1,0,0.0,0
231,2,4,591.95,0,1,2,1,0,0,0,0.0,1
232,8,1,130.31,1,0,1,1,1,0,0,0.0,0
234,10,1,132.46,1,0,2,0,1,0,0,0.0,1
235,4,2,225.89,1,1,0,1,2,0,0,0.0,1
236,2,1,115.56,0,1,1,1,2,0,0,0.0,0
237,8,1,104.94,0,1,2,0,1,0,0,0.0,0
239,10,0,47.47,0,1,1,0,1,0,0,0.0,1
240,1,2,215.08,0,1,1,0,2,1,0,0.0,1
241,2,2,224.89,1,1,2,0,0,0,0,0.0,0
242,9,2,201.75,1,1,1,0,1,0,0,0.0,1
244,10,1,151.43,1,0,2,0,2,0,0,0.0,0
246,5,1,159.41,0,1,1,1,1,1,0,0.0,1
247,5,2,290.86,1,0,2,1,2,0,0,0.0,0
248,4,0,87.2,0,1,1,1,1,1,0,0.0,1
252,4,5,770.38,0,1,0,1,0,0,0,0.0,0
255,2,6,1093.92,1,1,1,1,2,0,0,0.0,0
256,1,5,752.8,1,1,2,1,1,0,0,0.0,0
257,2,1,199.95,1,0,1,1,1,0,0,0.0,0
258,9,2,239.91,0,1,0,0,1,0,0,0.0,0
259,8,0,43.16,0,1,2,1,1,0,0,0.0,0
260,2,3,418.81,0,1,1,0,0,0,0,0.0,0
261,9,2,318.52,0,1,2,0,2,0,0,0.0,1
262,1,1,109.26,0,1,1,1,2,1,0,0.0,1
264,9,1,135.02,1,0,1,1,2,0,0,0.0,1
266,3,0,55.34,1,0,1,1,1,0,0,0.0,1
267,4,2,297.8,1,1,2,0,1,1,1,264.66,1
268,4,1,146.49,0,1,1,0,1,0,0,0.0,1
271,4,2,249.61,0,1,2,1,1,0,0,0.0,1
273,1,2,307.58,1,0,1,0,0,0,0,0.0,0
275,6,3,464.17,0,1,1,0,0,0,0,0.0,1
276,6,0,29.99,1,0,1,1,2,0,0,0.0,1
277,2,3,435.33,0,1,1,0,2,0,0,0.0,1
281,5,1,180.28,0,1,1,0,1,0,0,0.0,1
283,2,3,350.48,1,0,2,1,2,0,0,0.0,1
284,3,3,376.14,1,0,1,0,1,0,0,0.0,0
286,6,1,164.51,1,0,1,0,1,1,0,0.0,1
288,11,0,29.99,0,1,1,0,2,0,0,0.0,1
289,2,3,407.64,0,1,2,1,2,0,0,0.0,1
290,1,1,143.0,0,1,2,0,1,0,0,0.0,1
293,10,0,35.84,1,0,2,1,1,0,0,0.0,0
294,3,1,190.66,0,1,1,1,2,0,0,0.0,1
296,5,2,215.03,0,1,2,1,2,0,0,0.0,0
297,1,5,856.4,0,1,2,1,2,0,0,0.0,0
299,10,2,245.09,1,0,2,0,0,0,0,0.0,0
300,6,1,127.2,0,1,1,0,1,0,0,0.0,0
303,3,2,327.1,1,0,1,1,2,0,0,0.0,0
305,3,0,29.99,1,0,2,0,1,0,0,0.0,0
306,6,3,398.03,1,1,1,0,1,0,0,0.0,0
309,7,0,29.99,1,0,1,0,2,0,0,0.0,0
311,10,2,335.77,0,1,0,0,0,0,0,0.0,1
312,12,3,465.37,0,1,0,1,0,0,0,0.0,0
313,12,0,75.26,1,0,2,1,1,0,0,0.0,1
314,10,2,327.18,0,1,2,0,1,0,0,0.0,1
315,1,1,188.89,0,1,1,1,2,0,0,0.0,0
317,7,4,688.51,1,1,0,1,0,0,0,0.0,1
318,3,2,229.42,0,1,0,0,0,0,0,0.0,0
321,2,1,196.93,0,1,0,1,2,0,0,0.0,1
322,4,4,557.47,1,0,2,1,2,0,0,0.0,0
323,12,1,177.66,1,0,1,0,1,1,0,0.0,1
324,9,0,29.99,0,1,1,0,1,0,0,0.0,1
326,10,1,168.04,1,0,2,0,2,0,0,0.0,0
327,5,1,173.65,1,0,2,0,2,0,0,0.0,1
328,4,1,164.7,1,0,1,0,1,0,0,0.0,0
329,2,0,57.53,1,0,2,1,1,0,0,0.0,0
330,10,0,29.99,1,0,2,0,2,0,0,0.0,1
332,10,0,29.99,0,1,1,0,2,1,1,149.28,0
334,4,0,63.22,1,0,1,0,2,0,0,0.0,1
335,4,4,550.59,1,0,1,1,2,0,0,0.0,0
337,11,0,91.23,1,0,2,0,2,0,0,0.0,1
338,2,4,571.53,1,0,0,1,0,0,0,0.0,1
339,1,1,169.31,0,1,0,1,2,0,0,0.0,1
340,10,2,205.88,1,0,2,0,1,0,0,0.0,0
342,3,0,29.99,1,0,2,0,2,1,0,0.0,0
344,7,3,424.6,0,1,1,1,1,0,0,0.0,1
347,2,3,373.14,0,1,2,0,0,1,0,0.0,1
349,1,0,68.5,0,1,2,0,1,0,0,0.0,0
350,11,0,37.45,0,1,2,0,1,0,0,0.0,0
351,2,0,38.34,1,0,2,0,2,0,0,0.0,1
352,5,4,545.73,1,0,1,1,0,0,0,0.0,1
353,4,0,70.39,0,1,1,1,2,0,0,0.0,0
355,9,0,29.99,1,0,2,0,2,0,0,0.0,1
357,4,0,29.99,1,0,2,0,1,0,0,0.0,1
358,6,1,136.26,0,1,0,1,2,0,0,0.0,0
359,2,5,936.63,1,0,2,1,1,0,0,0.0,1
361,2,2,203.52,1,1,2,1,0,1,0,0.0,0
362,1,3,422.81,0,1,2,0,1,1,0,0.0,1
363,10,2,320.11,0,1,0,0,2,0,0,0.0,0
364,12,0,29.99,0,1,1,0,1,0,0,0.0,1
366,11,1,164.9,0,1,1,0,1,0,0,0.0,1
367,11,2,265.39,0,1,1,0,0,0,0,0.0,1
368,9,4,744.22,1,0,0,1,2,0,0,0.0,0
369,3,0,99.25,1,0,1,1,1,0,0,0.0,0
370,5,0,62.49,1,0,0,0,2,0,0,0.0,0
372,10,2,333.65,0,1,1,0,2,0,0,0.0,0
373,7,2,340.18,0,1,2,0,1,0,0,0.0,0
374,4,2,300.58,0,1,1,1,2,0,0,0.0,1
376,10,3,357.28,0,1,1,0,2,0,0,0.0,1
377,5,2,283.55,1,0,2,1,1,0,0,0.0,0
378,9,0,48.93,1,0,0,1,1,0,0,0.0,1
383,7,2,233.4,1,1,2,0,0,0,0,0.0,0
384,2,1,189.67,1,0,0,1,2,0,0,0.0,1
385,1,6,1524.15,1,0,0,1,2,0,0,0.0,0
386,5,4,544.43,0,1,2,1,2,0,0,0.0,1
387,8,0,60.69,1,0,2,1,1,0,0,0.0,1
389,4,3,410.86,0,1,2,0,2,0,0,0.0,0
392,3,4,584.63,1,1,1,1,2,0,0,0.0,0
394,3,6,1570.59,1,1,2,1,2,0,0,0.0,1
395,5,1,119.47,1,0,1,0,1,0,0,0.0,0
396,7,0,68.86,0,1,1,0,1,0,0,0.0,0
398,9,1,165.62,0,1,2,0,2,0,0,0.0,0
399,1,4,686.08,1,1,2,1,2,0,0,0.0,0
400,3,2,263.07,0,1,1,0,2,0,0,0.0,1
401,5,4,568.26,0,1,1,1,0,0,0,0.0,1
402,7,1,145.89,0,1,2,0,1,0,0,0.0,0
403,2,1,190.4,0,1,0,1,2,1,0,0.0,1
404,5,5,964.59,0,1,1,1,1,0,0,0.0,0
405,10,1,158.55,0,1,1,0,1,0,0,0.0,1
407,7,0,93.33,1,0,2,0,2,0,0,0.0,0
